Employee Number ,Employee Name,Birthday,Hourly Rate,Date,Time In,Time Out,,
10001,Juan Dela Cruz,1998-05-10,150,2025-06-05,08:05,17:00,,
10001,Juan Dela Cruz,1998-05-10,150,2025-06-20,08:30,17:30,,
10001,Juan Dela Cruz,1998-05-10,150,2025-07-03,07:50,17:10,,
10001,Juan Dela Cruz,1998-05-10,150,2025-07-18,08:15,17:00,,
10001,Juan Dela Cruz,1998-05-10,150,2025-08-07,08:00,17:00,,
10001,Juan Dela Cruz,1998-05-10,150,2025-08-22,08:25,17:45,,
10001,Juan Dela Cruz,1998-05-10,150,2025-09-04,08:10,17:00,,
10001,Juan Dela Cruz,1998-05-10,150,2025-09-19,08:35,17:20,,
10001,Juan Dela Cruz,1998-05-10,150,2025-10-06,08:00,17:00,,
10001,Juan Dela Cruz,1998-05-10,150,2025-10-23,08:40,17:50,,
10001,Juan Dela Cruz,1998-05-10,150,2025-11-08,08:05,17:00,,
10001,Juan Dela Cruz,1998-05-10,150,2025-11-21,08:20,17:15,,
10001,Juan Dela Cruz,1998-05-10,150,2025-12-05,08:00,17:00,,
10001,Juan Dela Cruz,1998-05-10,150,2025-12-20,08:30,17:30,,
10002,Maria Santos,1995-09-20,180,2025-06-06,08:00,17:00,,
10002,Maria Santos,1995-09-20,180,2025-06-21,08:25,17:35,,
10002,Maria Santos,1995-09-20,180,2025-07-04,08:10,17:00,,
10002,Maria Santos,1995-09-20,180,2025-07-19,08:45,17:40,,
10002,Maria Santos,1995-09-20,180,2025-08-08,08:00,17:00,,
10002,Maria Santos,1995-09-20,180,2025-08-23,08:15,17:30,,
10002,Maria Santos,1995-09-20,180,2025-09-05,08:05,17:00,,
10002,Maria Santos,1995-09-20,180,2025-09-20,08:35,17:25,,
10002,Maria Santos,1995-09-20,180,2025-10-09,08:00,17:00,,
10002,Maria Santos,1995-09-20,180,2025-10-24,08:20,17:10,,
10002,Maria Santos,1995-09-20,180,2025-11-10,08:00,17:00,,
10002,Maria Santos,1995-09-20,180,2025-11-22,08:30,17:50,,
10002,Maria Santos,1995-09-20,180,2025-12-07,08:05,17:00,,
10002,Maria Santos,1995-09-20,180,2025-12-21,08:40,17:45,,
